Projects,Director,Writers,Related,Description,Genre
百年原殤：虹霧 hongu’utux,導演 簡學彬,,▶️  https://www.youtube.com/watch?v=K3g82I1zO0s,"1907 年，在經歷了與日軍長達八年的戰役後，泰雅族大豹社領導人 Watan Syat（瓦旦．燮促） 決定將兒子送去給日本人擔任質子，希望能換取和平與族人重回故土。
領導人的養女 Loba Watan（蘿芭・瓦旦）不忍手足被作為人質，於是挺身而出，自願前往日軍作為和解的籌碼。",短片 Short Film
返來呷飯 A Beautiful Summer Noon,導演 龔萬祥,編劇 龔萬祥,▶️ https://www.youtube.com/watch?v=IiW7eE5VTTE,2023金雞百花獎特別榮譽短片，澳洲台灣影展特別榮譽短片及觀眾票選最佳短片，紐約羅德島影展決選入圍，法國克萊蒙費宏影展市場展，印尼巴厘島國際影展，高雄電影節，金穗獎，華山扶植新導演，府中15親子影展，特別放映。,短片 Short Film
百味小廚神：午餐爭霸戰 Genius Chef Junior : Let’s Cook Lunch,導演 李權洋、王威翔,編劇 蔡岳霖、莊榮祚,"▶️ https://www.youtube.com/watch?v=mFBTUO0XV-0
▶️ https://www.kktv.me/play/02000404",,劇集 Series
百味小廚神：中元大餐 Genius Chef Junior : Ghost Festival,導演 李權洋、王威翔,編劇 蔡岳霖、莊榮祚,"▶️ https://www.youtube.com/watch?v=zEPajwWxY1I
▶️ https://www.kktv.me/titles/02000405",,劇集 Series
她們創業的那些鳥事 The Arc of Life,導演 馮家瑞、許肇任、林志儒,編劇 呂蒔媛,"▶️ https://www.youtube.com/watch?v=1CnIPdq5IrU
▶️ https://www.iq.com/album/%E5%A5%B9%E5%80%91%E5%89%B5%E6%A5%AD%E7%9A%84%E9%82%A3%E4%BA%9B%E9%B3%A5%E4%BA%8B-2021-289fg6fgdl1?lang=zh_tw",獲金鐘獎女配角獎,劇集 Series
憤怒的菩薩 Bodhisattva in Storm,導演 許肇任,編劇 李中、陳思宇、傅凱羚、吳子維、許肇玲,"▶️ https://www.youtube.com/watch?v=vKpkPNunJCM
▶️ https://www.ptsplus.tv/zh/programs/48477d4a-19bd-425a-a944-a31705ca83d7",獲金鐘獎攝影獎、入圍金鐘獎迷你劇集獎、導演獎、燈光獎。,劇集 Series
甜.祕密 Together,導演 許肇任,編劇 莊世鴻,"▶️ https://www.youtube.com/watch?v=pILZuWicf78
▶️ https://www.iq.com/album/%E7%94%9C%E2%80%A7%E7%A5%95%E5%AF%86-2012-19rrkr2wiw?lang=zh_tw",金馬獎最佳新導演、新演員、原創電影歌曲提名，入選釜山影展、溫哥華影展、柏林影展、香港國際電影節，並獲選為金馬國際影展開幕片。,電影 Feature Film
痴情男子漢 All Because of Love,導演 連奕琦,編劇 劉梓潔 林宇辰 連奕琦,"▶️ https://www.youtube.com/watch?v=5B7AEEOZpSQ
",金馬獎最佳新演員提名。,電影 Feature Film
酸甜之味 Family Time,導演 許肇任,編劇 杜政哲、楊惠文,"▶️ https://youtu.be/yrQaxsqMXzU?si=0nGVk94GM5uW9MRS
▶️ https://www.youtube.com/playlist?list=PLyHieqImaj4yhNFT1D0xByD_IKbD2ljwA",獲金鐘獎導演獎、編劇獎，入圍金鐘獎戲劇節目獎、新進演員獎。,劇集 Series
我在未來等你 Waiting For You In The Future,導演 薛凌、張超理,編劇 譚苗、魯昱暉、邢嘉芸,"▶️ https://youtu.be/AAoZh8TPe14?si=k_u-TJusbu2aA69S
▶️ https://www.iq.com/play/%E6%88%91%E5%9C%A8%E6%9C%AA%E4%BE%86%E7%AD%89%E4%BD%A0-%E7%AC%AC1%E9%9B%86-19rsu3sgxg?lang=zh_tw",豆瓣8.3，廣電總局2019年度優秀網絡視聽作品獲獎。,劇集 Series
牽紙鷂的手 The Kite Soaring,導演 許肇任、林志儒,編劇 呂蒔媛,"▶️ https://youtu.be/MkVtN64Aixs?si=wS7EaFiAkeJXRFuQ
▶️ https://www.hakkatv.org.tw/series/1624270018408236",獲金鐘獎編劇獎、男配角獎、剪輯獎，入圍金鐘獎戲劇節目、男主角、導演獎、美術設計獎。,劇集 Series
彩虹的重力 The Gravity of A Rainbow,導演 林清振,編劇 施定柔,"▶️ https://www.youtube.com/watch?v=_nl6awB1HQ8
▶️ https://www.iq.com/play/%E5%BD%A9%E8%99%B9%E7%9A%84%E9%87%8D%E5%8A%9B-%E7%AC%AC1%E9%9B%86-19rttuaqa4?lang=zh_tw",,劇集 Series
不想一個人 Leave Me Alone,導演 范揚仲,編劇 范揚仲,"▶️ https://youtu.be/4FWUzpdtwmU?si=LvTAQ2k_HXi_qKVD▶️ https://www.catchplay.com/tw/video/dc705e6f-0f28-4853-95f1-351da6ca6255 
▶️ https://video.friday.tw/movie/detail/82059/%E4%B8%8D%E6%83%B3%E4%B8%80%E5%80%8B%E4%BA%BA",金馬獎最佳女配角、最佳美術設計提名，獲台北電影獎最佳攝影。,電影 Feature Film
滾石愛情故事：愛情、愛我別走 In Love,導演 陳銘章,編劇 吳洛纓、毛訓容,"▶️ https://youtu.be/kFNnsZYrSUw?si=F4xsNvQSO8VAz0vz
▶️ https://youtu.be/INIE_z1sUiM?si=m0RvByIZyjwjn0ss",,劇集 Series
醉後決定愛上你 Love You / While We Were Drunk,導演 陳銘章,編劇 陸亦華、簡佑玶、孫向妘、陳炘怡、陳泰霖,"▶️ https://youtu.be/0hIaDH9OL0I?si=Wdpn7tHHOCQnJAGP
▶️ https://www.netflix.com/watch/80111917?source=35
▶️ https://www.youtube.com/watch?v=RrVRomWV0G4&list=PL_N94HRA643pJEfyWUU6E0ZcERrBkPnXQ",入圍金鐘獎 最佳戲劇節目、男主角、導演獎、節目行銷獎,劇集 Series
漂洋過海來看你 Across The Ocean to See You,導演 陳銘章,編劇 姚瑤,"▶️ https://youtu.be/16niGkuoXus?si=fGb_hdzFVCOpO-F4
▶️ https://www.kktv.me/titles/03000940
▶️ https://www.myvideo.net.tw/details/3/23656",,劇集 Series
克拉戀人 Diamond Lover,導演 陳銘章,編劇 李捷,,,劇集 Series
回首留蘭香,導演 許肇任,編劇 吳洛纓,▶️ https://youtu.be/3n62i3ZXr9w?si=B7S8pUS1YeTPXHSN,,劇集 Series
熱血高校 Judo High,導演 許肇任,編劇 陳文梓,▶️ https://fb.watch/umHPoOtMLV/,,劇集 Series
我在1949，等你 Letter 1949,導演 陳銘章、鄧安寧,編劇 吳洛纓、吳維君、張瑋庭、楊景翔、潘冠宏,https://youtu.be/GxIEhtoBQxE?si=meqOCzYhR-KyXY48,入圍金鐘獎男配角獎、美術設計獎,劇集 Series
SNEILA: You Will Never Know,導演 Peilin Kuo,編劇 Peilin Kuo,"▶️ https://youtu.be/AfzUmkTVL9I?si=lE89_ePRADrycxai
https://www.imdb.com/title/tt28230029/","In the distant future, a battle-worn convict escapes from prison in a desperate attempt to find a rumored utopia on a post-war, alien-inhabited planet Earth. Before being shot down by authorities, he’s rescued by a mysterious young woman. The question is—has he been saved… or taken prisoner?",短片 Short Film
竹林傳奇 Once Upon a Time in the Bamboo,導演 Peilin Kuo,編劇 Peilin Kuo,https://www.imdb.com/title/tt12348560/,,短片 Short Film
遇見愛情的利先生 Love & Life & Lie,導演 陳銘章,編劇 祝明,,,劇集 Series
UNI water - 條碼篇,導演 蕭雅全,,▶️ https://youtu.be/ZOhZsUH-kqg?si=GAoff3yXdXZVR9lk,,廣告 Commercial
中華電信光世代 - 應用篇,導演 蕭雅全,,▶️ https://youtu.be/B8VjW5pofDQ?si=0Q4J2YVbrImTxD9u,,廣告 Commercial
中華電信光世代 - 決心篇,導演 蕭雅全,,▶️ https://youtu.be/v5kNzOjC1vk?si=vPEbSu1-g0x8h0iP,,廣告 Commercial
中華電信光世代 - 建設篇,導演 蕭雅全,,▶️ https://youtu.be/dmtwySeQDtE?si=Nf558FCU40C0fQtI,,廣告 Commercial
應屆退休生,導演 林子平,編劇 陳宏宇、鄭婉玭,▶️ https://youtu.be/sOaGIL0jkWc?si=xDL-EViK7PPQhUVY,獲金鐘獎男配角獎，入圍金鐘獎燈光獎,電視電影 TV Movie
JJ林俊傑 - 曹操,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1Dq4y127RY/?share_source=copy_web,,音樂錄影帶 Music Video
Tank - 街頭霸王 電影版,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV19P4y1m7nt/?share_source=copy_web,,音樂錄影帶 Music Video
F.I.R. 飛兒樂團 - 月牙灣,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1N4411K76g/?share_source=copy_web,,音樂錄影帶 Music Video
上岸的魚 A Fish Out of Water,導演 賴國安,編劇 賴國安,"▶️ https://www.youtube.com/watch?v=I4372rSZYWM
▶️ https://www.catchplay.com/tw/video/df3365c8-c5b0-4680-beb0-492db4e030ec
▶️ https://www.myvideo.net.tw/details/0/194681",,電影 Feature Film
不死搖滾夢,導演 邱晧洲,編劇 陳依孝,▶️ https://youtu.be/3m7lRineq4U?si=QZ3LoscuSzSOm7Pz,,電視電影 TV Movie
敬盛堂的春大神,導演 王道南,編劇 王道南,▶️ https://youtu.be/AT_Yc16Yy7Y?si=AB3Cs5BUbu4a-2-k,,電視電影 TV Movie
回聲,導演 趙正平,編劇 陳世杰、王詞仰,"▶️ https://youtu.be/_SaCtAY6T_E?si=3NHL2kdw_hdqRWT8
▶️ https://www.litv.tv/drama/watch/VOD00075230",,電視電影 TV Movie
JJ林俊傑 - 殺手 電影版,導演 比爾賈,,▶️ https://www.youtube.com/watch?v=sYI1vpZ_PwM,,"短片 Short Film, 音樂錄影帶 Music Video"
 JJ 林俊傑 K-O,導演 比爾賈,,▶️ https://youtu.be/pbfi0XFUgbo?si=Hk-TdgQXxrqoVmEd,,音樂錄影帶 Music Video
蕭蕭 - 想忘了,導演 比爾賈,,▶️ https://youtu.be/jyE6ugYFYlQ?si=1dGir2LpStLQ4Edo,,音樂錄影帶 Music Video
陶喆 - 忘不了,,,▶️ https://www.bilibili.com/video/BV14gsFeeESE/?share_source=copy_web,,音樂錄影帶 Music Video
黃立行 - 要 (I Wanna),導演 比爾賈,,▶️ https://www.youtube.com/watch?v=EFsYiU6i7ZQ,,音樂錄影帶 Music Video
JJ林俊傑 - 不死之身,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1VL4y1578U/?share_source=copy_web,,音樂錄影帶 Music Video
櫻桃幫 - 親愛的王子,導演 比爾賈,,▶️ https://youtu.be/WYV-KCTvr7A?si=XBzO7gvP-wHAlQfr,,音樂錄影帶 Music Video
蔡健雅 - 障眼法,導演 比爾賈,,▶️ https://youtu.be/ROgiiCY-PN0?si=DEpwh0BBNvt3j4oI,,音樂錄影帶 Music Video
陶晶瑩 - 嫉妒,導演 比爾賈,,▶️ https://youtu.be/TzDgS_E_GIk?si=x9Px_h_Xm3QHqgul,,音樂錄影帶 Music Video
曹格 - Superman,導演 比爾賈,,▶️ https://youtu.be/CGffay26lug?si=wznw0yCIBqxkIlhc,,音樂錄影帶 Music Video
蘇菲亞鑽石 TVC Edmund篇,導演 梁景昇,,▶️ https://youtu.be/uXX6m356CsM?si=UfwnkBKHQCGLN9o5,,廣告 Commercial
F.I.R. 飛兒樂團 - 飛行部落,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1tz411z7Tf/?share_source=copy_web,,音樂錄影帶 Music Video
Tank -  激戰,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1ZV4y1N7gW/?share_source=copy_web,,音樂錄影帶 Music Video
S.H.E.、飛輪海 - 新窩,導演 比爾賈,,▶️ https://www.youtube.com/watch?v=mtdimg62BLs,,音樂錄影帶 Music Video
劉若英 - 別人,導演 胡世山,,▶️ https://youtu.be/VG5YVL-WyQI?si=edsXLHA9oG5BJd-V,,音樂錄影帶 Music Video
蔡健雅 - 深信不疑,導演 比爾賈,,▶️ https://youtu.be/9sHSs5mGy1M?si=ARrvs4v6oajVokvx,,音樂錄影帶 Music Video
Tank - 延長比賽,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1N8411Y7r4/?share_source=copy_web,,音樂錄影帶 Music Video
S.H.E.  - 不想長大,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV12S4y1C7a5/?share_source=copy_web,,音樂錄影帶 Music Video
S.H.E. - 月桂女神,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1Yz421y7fS/?share_source=copy_web,,音樂錄影帶 Music Video
李玖哲 - 小胖子的一天,導演 比爾賈,,▶️ https://youtu.be/Ca2R8tvp41Q?si=cI-lxfE1BDSskxV0,,音樂錄影帶 Music Video
游鴻明 - 詩人的眼淚,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV1jL411p7mE/?share_source=copy_web,,音樂錄影帶 Music Video
Tank -  鬥牛要不要,導演 比爾賈,,▶️ https://www.bilibili.com/video/BV19D4y1W7SU/?share_source=copy_web,,音樂錄影帶 Music Video
S.H.E - 藉口,導演 比爾賈,,▶️ https://www.youtube.com/watch?v=s_y-s9nhe74,,音樂錄影帶 Music Video
S.H.E. - 神槍手,導演 賴偉康 比爾賈,,▶️ https://youtu.be/cqYqhB1YTnA?si=vdORim0yRM6kRBm9,,音樂錄影帶 Music Video
三角COOL - 三角COOL,導演 比爾賈,,▶️ https://youtu.be/e2g-sYZWEtg?si=YPzcE-9zhzy9bPdg,,音樂錄影帶 Music Video
遇見王瀝川 Remembering Lichuan,導演 陳銘章,編劇 施定柔,"▶️ https://youtu.be/xFMotwsGRSY?si=QRd74RZ9YP1yjy7W
▶️ https://youtu.be/_PtmhmMvGG0?si=hQgO8EKh8ooUAMYY
▶️ https://youtu.be/NV74g3OEGag?si=qiHVK-azrqb5vDOC",預告、前導片花、正式片花剪輯,預告片花 Trailer
夏日最後的祕密 Summer Blue Hour,導演 邱晧洲,,"▶️ https://www.facebook.com/VVPfans/videos/1164626838355262
▶️ https://www.youtube.com/watch?v=Ee0bpCHmbww",前導預告、正式預告剪輯,預告片花 Trailer
茶金 Gold Leaf,導演 林君陽,編劇 徐彥萍,"▶️ https://www.youtube.com/watch?v=elAn2KcGgps
▶️ https://www.youtube.com/watch?v=34DvsWTU704",超前導預告、前導預告、片花剪輯,預告片花 Trailer
模仿犯 Copycat Killer,導演 張榮吉、張亨如,編劇 王加安、何昕明、尤以青、周克威、吳俊佑,,片花剪輯,預告片花 Trailer
死了一個娛樂女記者之後 Tabloid,導演 梁秀紅、吳旻炫,編劇 柯映安,,片花剪輯,預告片花 Trailer
人選之人—造浪者 Wave Makers,導演 林君陽,編劇 簡莉穎、厭世姬,,片花剪輯,預告片花 Trailer
太太太厲害 M Mission,導演 吳建新,,,片花剪輯,預告片花 Trailer
